date,gdp,real_gdp,unemployment_rate,interest_rate,fund_rate
2000-01-02,10002.179,13878.147,4.0,3.41105112,
2000-01-09,10002.179,13878.147,4.0,3.41105112,
2000-01-16,10002.179,13878.147,4.0,3.41105112,
2000-01-23,10002.179,13878.147,4.0,3.41105112,
2000-01-30,10002.179,13878.147,4.0,3.41105112,
2000-02-06,10002.179,13878.147,4.1,3.51334339,
2000-02-13,10002.179,13878.147,4.1,3.51334339,
2000-02-20,10002.179,13878.147,4.1,3.51334339,
2000-02-27,10002.179,13878.147,4.1,3.51334339,
2000-03-05,10002.179,13878.147,4.0,3.44034736,
2000-03-12,10002.179,13878.147,4.0,3.44034736,
2000-03-19,10002.179,13878.147,4.0,3.44034736,
2000-03-26,10002.179,13878.147,4.0,3.44034736,
2000-04-02,10247.72,14130.908,3.8,3.20296665,
2000-04-09,10247.72,14130.908,3.8,3.20296665,
2000-04-16,10247.72,14130.908,3.8,3.20296665,
2000-04-23,10247.72,14130.908,3.8,3.20296665,
2000-04-30,10247.72,14130.908,3.8,3.20296665,
2000-05-07,10247.72,14130.908,4.0,3.3605311,
2000-05-14,10247.72,14130.908,4.0,3.3605311,
2000-05-21,10247.72,14130.908,4.0,3.3605311,
2000-05-28,10247.72,14130.908,4.0,3.3605311,
2000-06-04,10247.72,14130.908,4.0,3.1278929,
2000-06-11,10247.72,14130.908,4.0,3.1278929,
2000-06-18,10247.72,14130.908,4.0,3.1278929,
2000-06-25,10247.72,14130.908,4.0,3.1278929,
2000-07-02,10318.165,14145.312,4.0,3.06235485,
2000-07-09,10318.165,14145.312,4.0,3.06235485,
2000-07-16,10318.165,14145.312,4.0,3.06235485,
2000-07-23,10318.165,14145.312,4.0,3.06235485,
2000-07-30,10318.165,14145.312,4.0,3.06235485,
2000-08-06,10318.165,14145.312,4.1,3.04561328,
2000-08-13,10318.165,14145.312,4.1,3.04561328,
2000-08-20,10318.165,14145.312,4.1,3.04561328,
2000-08-27,10318.165,14145.312,4.1,3.04561328,
2000-09-03,10318.165,14145.312,3.9,2.88599618,
2000-09-10,10318.165,14145.312,3.9,2.88599618,
2000-09-17,10318.165,14145.312,3.9,2.88599618,
2000-09-24,10318.165,14145.312,3.9,2.88599618,
2000-10-01,10435.744,14229.765,3.9,2.87662559,
2000-10-08,10435.744,14229.765,3.9,2.87662559,
2000-10-15,10435.744,14229.765,3.9,2.87662559,
